service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily-1,1,1,1,1,1,1,1,20260506,20260831
Daily-2,1,1,1,1,1,1,1,20260506,20260516
Daily-3,1,1,1,1,1,1,1,20260506,20260831
Daily-4,1,1,1,1,1,1,1,20260506,20260508
Daily-5,1,1,1,1,1,1,1,20260517,20260831
Daily-6,1,1,1,1,1,1,1,20260517,20260831
ExSat-1,1,1,1,1,1,0,1,20260506,20260516
ExSat-2,1,1,1,1,1,0,1,20260506,20260831
ExSat-3,1,1,1,1,1,0,1,20260506,20260831
ExSat-4,1,1,1,1,1,0,1,20260517,20260831
ExSun-1,1,1,1,1,1,1,0,20260506,20260831
ExSun-2,1,1,1,1,1,1,0,20260506,20260516
ExSun-3,1,1,1,1,1,1,0,20260517,20260831
ExTue-1,1,0,1,1,1,1,1,20260506,20260831
FriSat-1,0,0,0,0,1,1,0,20260506,20260516
FriSat-2,0,0,0,0,1,1,0,20260506,20260831
FriSat-3,0,0,0,0,1,1,0,20260517,20260831
Friday-1,0,0,0,0,1,0,0,20260506,20260831
Friday-2,0,0,0,0,1,0,0,20260506,20260831
Other-1,0,0,0,0,0,0,0,20260506,20260831
Other-10,0,0,0,0,0,0,0,20260506,20260831
Other-11,0,0,0,0,0,0,0,20260506,20260831
Other-12,0,0,0,0,0,0,0,20260506,20260831
Other-13,0,0,0,0,0,0,0,20260506,20260831
Other-14,0,0,0,0,0,0,0,20260506,20260831
Other-15,0,0,0,0,0,0,0,20260506,20260831
Other-16,0,0,0,0,0,0,0,20260506,20260831
Other-17,0,0,0,0,0,0,0,20260506,20260831
Other-18,0,0,0,0,0,0,0,20260506,20260516
Other-19,0,0,0,0,0,0,0,20260506,20260831
Other-2,0,0,0,0,0,0,0,20260506,20260831
Other-20,0,0,0,0,0,0,0,20260506,20260831
Other-21,0,0,0,0,0,0,0,20260506,20260831
Other-22,0,0,0,0,0,0,0,20260506,20260831
Other-23,0,0,0,0,0,0,0,20260506,20260831
Other-24,0,0,0,0,0,0,0,20260506,20260831
Other-25,0,0,0,0,0,0,0,20260506,20260831
Other-26,0,0,0,0,0,0,0,20260506,20260831
Other-27,0,0,0,0,0,0,0,20260506,20260831
Other-28,0,0,0,0,0,0,0,20260509,20260831
Other-29,0,0,0,0,0,0,0,20260506,20260831
Other-3,0,0,0,0,0,0,0,20260506,20260831
Other-30,0,0,0,0,0,0,0,20260506,20260516
Other-31,0,0,0,0,0,0,0,20260509,20260831
Other-32,0,0,0,0,0,0,0,20260506,20260831
Other-33,0,0,0,0,0,0,0,20260506,20260831
Other-34,0,0,0,0,0,0,0,20260506,20260831
Other-35,0,0,0,0,0,0,0,20260506,20260831
Other-36,0,0,0,0,0,0,0,20260506,20260831
Other-37,0,0,0,0,0,0,0,20260506,20260831
Other-38,0,0,0,0,0,0,0,20260506,20260831
Other-39,0,0,0,0,0,0,0,20260506,20260831
Other-4,0,0,0,0,0,0,0,20260506,20260831
Other-40,0,0,0,0,0,0,0,20260506,20260831
Other-41,0,0,0,0,0,0,0,20260506,20260831
Other-42,0,0,0,0,0,0,0,20260517,20260831
Other-43,0,0,0,0,0,0,0,20260517,20260831
Other-44,0,0,0,0,0,0,0,20260517,20260831
Other-45,0,0,0,0,0,0,0,20260517,20260831
Other-46,0,0,0,0,0,0,0,20260517,20260831
Other-47,0,0,0,0,0,0,0,20260517,20260831
Other-48,0,0,0,0,0,0,0,20260517,20260831
Other-5,0,0,0,0,0,0,0,20260506,20260831
Other-6,0,0,0,0,0,0,0,20260506,20260831
Other-7,0,0,0,0,0,0,0,20260506,20260831
Other-8,0,0,0,0,0,0,0,20260506,20260831
Other-9,0,0,0,0,0,0,0,20260506,20260831
Saturday-1,0,0,0,0,0,1,0,20260506,20260831
Saturday-10,0,0,0,0,0,1,0,20260517,20260831
Saturday-2,0,0,0,0,0,1,0,20260506,20260516
Saturday-3,0,0,0,0,0,1,0,20260506,20260831
Saturday-4,0,0,0,0,0,1,0,20260506,20260831
Saturday-5,0,0,0,0,0,1,0,20260506,20260831
Saturday-6,0,0,0,0,0,1,0,20260506,20260831
Saturday-7,0,0,0,0,0,1,0,20260506,20260831
Saturday-8,0,0,0,0,0,1,0,20260506,20260831
Saturday-9,0,0,0,0,0,1,0,20260506,20260831
Sunday-1,0,0,0,0,0,0,1,20260506,20260831
Sunday-2,0,0,0,0,0,0,1,20260506,20260516
Sunday-3,0,0,0,0,0,0,1,20260506,20260831
Sunday-4,0,0,0,0,0,0,1,20260506,20260831
Sunday-5,0,0,0,0,0,0,1,20260506,20260831
Sunday-6,0,0,0,0,0,0,1,20260506,20260831
Sunday-7,0,0,0,0,0,0,1,20260506,20260831
Sunday-8,0,0,0,0,0,0,1,20260506,20260831
Sunday-9,0,0,0,0,0,0,1,20260517,20260831
Thursday-1,0,0,0,1,0,0,0,20260506,20260831
Tuesday-1,0,1,0,0,0,0,0,20260506,20260516
Tuesday-2,0,1,0,0,0,0,0,20260506,20260516
Tuesday-3,0,1,0,0,0,0,0,20260506,20260516
Tuesday-4,0,1,0,0,0,0,0,20260506,20260831
Wednesday-1,0,0,1,0,0,0,0,20260506,20260508
Wednesday-2,0,0,1,0,0,0,0,20260506,20260831
Wednesday-3,0,0,1,0,0,0,0,20260506,20260831
Weekday-1,1,1,1,1,1,0,0,20260506,20260831
Weekday-10,1,1,1,1,1,0,0,20260506,20260831
Weekday-11,1,1,1,1,1,0,0,20260506,20260831
Weekday-12,1,1,1,1,1,0,0,20260506,20260831
Weekday-13,1,1,1,1,1,0,0,20260506,20260831
Weekday-14,1,1,1,1,1,0,0,20260506,20260831
Weekday-15,1,1,1,1,1,0,0,20260517,20260831
Weekday-16,1,1,1,1,1,0,0,20260517,20260831
Weekday-17,1,1,1,1,1,0,0,20260517,20260831
Weekday-18,1,1,1,1,1,0,0,20260517,20260831
Weekday-2,1,1,1,1,1,0,0,20260506,20260516
Weekday-3,1,1,1,1,1,0,0,20260506,20260831
Weekday-4,1,1,1,1,1,0,0,20260506,20260831
