SA12023_code,NZDep2023,NZDep2023_Score,URPopnSA1_2023,SA22023_code,SA22023_name
7000000,10,1357,222,100100,North Cape
7000004,10,1150,156,100100,North Cape
7000005,10,1197,237,100100,North Cape
7000006,6,992,93,100100,North Cape
7000008,7,1019,258,100100,North Cape
7000009,6,991,153,100100,North Cape
7000010,9,1128,,100301,Inlets Far North District
7000011,9,1095,159,100100,North Cape
7000019,8,1058,285,100200,Rangaunu Harbour
7000020,8,1047,180,100200,Rangaunu Harbour
7000021,7,1024,207,100200,Rangaunu Harbour
7000022,9,1089,216,100200,Rangaunu Harbour
7000023,10,1216,204,100200,Rangaunu Harbour
7000024,9,1104,225,100200,Rangaunu Harbour
7000025,10,1196,99,100200,Rangaunu Harbour
7000026,10,1196,87,100200,Rangaunu Harbour
7000027,9,1102,156,100200,Rangaunu Harbour
7000028,8,1054,177,100200,Rangaunu Harbour
7000029,8,1060,183,100200,Rangaunu Harbour
7000030,8,1047,210,100200,Rangaunu Harbour
7000031,10,1284,264,100200,Rangaunu Harbour
7000032,8,1055,246,100400,Karikari Peninsula
7000033,8,1067,165,100400,Karikari Peninsula
7000036,8,1040,249,100400,Karikari Peninsula
7000040,8,1056,231,101400,Taemaro-Oruaiti
7000041,5,971,159,101400,Taemaro-Oruaiti
7000045,9,1079,153,101101,Doubtless Bay
7000046,9,1078,159,101000,Oruru-Parapara
7000047,7,1025,165,101101,Doubtless Bay
7000048,4,948,114,101101,Doubtless Bay
7000053,8,1050,129,101000,Oruru-Parapara
7000056,7,1027,177,101101,Doubtless Bay
7000057,7,1014,156,101101,Doubtless Bay
7000059,8,1047,231,101101,Doubtless Bay
7000060,9,1122,198,101101,Doubtless Bay
7000061,7,1001,135,101101,Doubtless Bay
7000062,9,1126,105,101101,Doubtless Bay
7000063,10,1268,159,101500,Whakapaku
7000065,9,1103,183,101500,Whakapaku
7000066,8,1067,111,101500,Whakapaku
7000067,10,1297,132,101500,Whakapaku
7000068,7,1020,192,101500,Whakapaku
7000069,7,1019,141,101801,Whakarara
7000070,9,1104,213,101801,Whakarara
7000071,9,1091,216,101801,Whakarara
7000072,10,1375,126,101801,Whakarara
7000073,9,1107,120,101801,Whakarara
7000078,8,1065,243,100500,Tangonge
7000079,9,1121,180,100500,Tangonge
7000080,9,1072,153,100500,Tangonge
7000081,10,1238,174,100500,Tangonge
7000082,5,958,216,100500,Tangonge
7000083,8,1056,126,100500,Tangonge
7000084,10,1222,189,100700,Kaitaia East
7000085,10,1261,306,100800,Kaitaia West
7000086,10,1177,165,100800,Kaitaia West
7000087,10,1281,120,100800,Kaitaia West
7000089,10,1282,204,100800,Kaitaia West
7000090,10,1230,168,100800,Kaitaia West
7000091,10,1350,168,100800,Kaitaia West
7000092,10,1292,147,100800,Kaitaia West
7000093,10,1292,108,100800,Kaitaia West
7000094,10,1248,153,100800,Kaitaia West
7000095,10,1224,189,100700,Kaitaia East
7000096,10,1321,216,100700,Kaitaia East
7000097,10,1183,165,100700,Kaitaia East
7000098,10,1394,153,100700,Kaitaia East
7000099,10,1335,132,100700,Kaitaia East
7000100,10,1278,198,100700,Kaitaia East
